1,125,1,415.9292,0,1.3223985,93,21,87.64479,183.78378,147,55,125,10.3,50,125,1,56,11,31,20,24,12,55,34,19,23,10,12,33,22,24,1,1,1,11,24,20,12,15,12,17,1,1,148,0,0,18,0,0,0,44.2,42.8,0,0,79,1,125,1,4,0,0,1
2,125,0,82.30089,0,0.6628961,9,72,76.061775,150.57915,32,15,34,0.6,17,125,1,59,11,68,44,24,12,60,71,43,23,8,4,66,37,24,0,1,1,32,53,46,25,30,25,28,1,1,154,0,0,60,0,0,0,44.3,64,0,1,92,1,125,0,0,1,1,1
3,125,0,65.486725,0,0.53280556,3,163,73.35908,198.0695,14,22,37,2.5,19,125,1,26,11,36,17,39,12,26,35,22,36,8,28,36,25,28,0,1,1,20,7,8,10,15,15,18,1,1,156,0,0,91,0,0,0,42.5,54.9,0,1,86,1,125,1,0,0,1,1
4,126,0,500,1,0.6323531,19,84,132.81853,267.18146,29,41,33,3.1,13,126,1,46,11,75,55,33,12,56,63,49,39,8,58,79,49,36,0,1,1,68,74,73,26,27,29.5,29.5,1,1,156.1,0,0,72,1,0,0,47.3,53.4,0,1,75.2,1,126,1,3,0,1,1
5,126,0,157.52213,0,1.0554302,55,40,99.2278,180.69498,55,63,88,1.1,24,126,1,6,12,61,28,22,13,6,59,30,19,10,8,61,34,20,0,1,1,34,42,48,21,25,21.5,25,1,1,158.5,0,0,56,1,0,0,46.3,67.4,0,1,95,1,126,0,0,0,1,1
6,126,0,106.19469,0,1.4083714,32,49,77.22008,143.62935,32,52,88,1.7,16,126,1,54,5,70,38,24,4,53,73,35,20,5,0,67,36,22,0,0,1,73,86,78,38.5,39.5,38.5,41.5,1,1,167.1,0,0,91,1,0,0,49.3,67.7,0,1,88.1,1,126,0,0,1,1,1
7,126,0,86.72566,0,0.63461554,31,119,122.39382,209.26642,84,35,53,0.9,37,126,1,7,11,63,28,35,12,7,52,27,34,8,9,62,28,38,0,1,1,44,42,41,22,19.5,21,21.5,1,1,153,0,0,41,1,0,0,45.1,57.3,0,1,97.3,1,126,1,0,1,1,1
8,126,1,253.09735,0,0.8868781,55,71,140.54054,230.11583,32,13,81,1.8,22,126,1,23,13,74,36,26,14,25,72,36,25,11,27,79,36,28,0,1,1,13,14,11,23.5,27.5,21.5,30.5,1,1,153.5,0,0,52,1,0,0,48.2,67.8,0,1,101.7,1,126,1,0,1,1,2
9,85,0,500,1,0.958145,35,32,61.00386,209.65251,52,40,47,8,13,85,1,24,4,62,57,20,3,60,49,54,18,2,3,59,53,21,1,1,1,38,76,74,40,50,40.5,46.5,1,1,169.5,0,0,66,1,0,0,50.1,71.6,0,1,87.6,1,85,0,0,0,1,0
10,85,1,92.0354,0,0.7115386,7,64,98.8417,165.63707,44,30,4,0.1,13,85,1,54,26,19,22,32,29,55,22,17,24,2,1,17,18,29,1,1,0,29,38,31,25.5,30,28,31.5,1,1,164.5,0,0,77,1,0,0,49.7,61.7,0,1,82.4,1,85,1,0,0,1,1
11,85,0,72.56637,0,0.98416317,13,69,93.822395,161.00386,18,27,41,0.6,22,85,1,35,26,101,35,22,29,57,87,33,17,24,59,101,36,19,0,1,1,53,59,55,27,43,31,38,1,1,167,0,0,94,1,0,0,52.7,68.3,3,1,79.5,1,85,0,4,0,1,1
12,85,0,89.38053,0,0.69570154,34,68,98.4556,164.86487,73,20,50,1.4,31,85,1,18,25,64,28,46,28,27,59,23,45,23,28,51,29,44,0,2,1,0,6,8,20,24,17.5,25,1,1,147,0,0,44,1,0,0,45,54.7,3,1,99,1,85,1,4,0,1,1
13,83,0,131.85841,0,0.89253414,31,141,146.71815,254.82626,35,14,39,0.1,23,83,1,39,26,57,33,45,29,39,50,34,41,24,40,67,36,43,1,1,1,37,44,44,16.6,20.1,18.7,20.9,0,0,155.3,0,0,63,1,0,0,45.8,48.2,0,1,73.6,1,83,1,4,0,1,1
14,83,0,96.460175,0,0.62443453,24,48,99.6139,162.54826,49,34,26,1,22,83,1,34,26,88,54,45,29,35,75,48,33,24,37,80,48,35,0,1,1,43,50,42,15.1,21,14.3,18.9,1,1,164,0,0,73,1,0,0,50.9,61.7,0,1,93.2,1,83,1,0,1,1,0
15,83,0,165.48672,0,0.75226265,6,56,137.45174,215.83012,49,14,12,1.4,19,83,1,52,25,31,26,31,28,53,26,23,33,23,55,21,25,34,0,1,0,46,49,43,24,26,25,27.5,1,1,158,0,0,59,1,0,0,47.2,65.9,0,1,91.4,1,83,1,0,0,1,1
16,83,0,93.80531,0,0.7239821,33,84,144.40155,228.18533,49,19,24,1.1,22,83,1,31,26,24,19,34,29,30,19,23,32,24,32,34,20,32,0,1,1,51,63,63,14.7,15.8,15.4,13.8,1,1,159,0,0,57,1,0,0,45.3,59,0,1,90.8,1,83,1,4,0,1,1
17,83,0,123.00885,0,0.86199117,62,19,80.30888,139.38225,46,38,23,1.1,22,83,1,18,26,70,41,30,29,17,74,40,24,24,18,67,39,24,0,1,1,83,88,81,31.1,31,28.5,36,1,1,171.3,0,0,80,1,0,0,53.3,74.3,0,1,95.8,1,83,0,0,0,1,1
18,83,0,137.16814,0,0.6753395,44,57,114.671814,198.4556,70,22,27,0.8,32,83,1,51,26,49,34,28,29,52,52,30,28,24,54,50,35,38,1,1,1,36,38,27,15,10.5,13.1,9.5,0,1,152.7,0,0,61,1,0,0,46.8,59.1,0,1,85.6,1,83,1,0,0,1,2
19,83,0,206.19469,0,0.82239836,29,41,101.5444,187.64479,29,37,28,1.7,22,83,1,14,26,28,23,19,29,13,20,28,19,24,15,20,25,17,0,1,1,40,58,52,25.2,19.1,27.8,22,1,1,165.3,0,0,76,1,0,0,47.8,68.1,0,1,92.4,1,83,0,0,0,1,1
20,83,0,92.92036,0,0.97624457,37,76,122.39382,196.13899,46,29,16,0.1,20,83,1,21,26,68,56,41,29,20,50,50,37,24,22,52,51,41,0,1,1,83,91,82,30.5,32.9,33.1,33.1,1,1,166,0,0,72,1,0,0,47.8,75,0,1,94.4,1,83,0,0,0,1,2
21,83,0,146.90265,0,0.7601812,36,45,79.15058,146.71815,49,26,9,2.1,20,83,1,27,26,38,39,42,29,26,47,42,41,24,28,37,38,41,0,1,1,50,59,50,23.9,18.9,28,23.5,1,1,164.2,0,0,81,1,0,0,49.7,79.9,0,0,103.4,1,83,1,0,0,1,0
22,84,1,500,1,0.7805432,35,51,65.25097,231.27414,87,49,34,14.1,21,84,1,11,26,72,56,64,29,11,73,57,62,24,13,67,53,59,0,1,0,70,79,74,45,39.8,46.8,36.1,1,1,169.5,0,0,99,1,0,0,51.7,72.8,3,1,98.6,1,84,0,0,1,1,1
23,84,1,100,0,0.7047513,15,84,105.0193,184.55598,46,18,15,0.1,22,84,1,33,26,40,39,33,29,33,41,35,33,24,35,36,34,35,1,1,1,29,36,29,22.8,21.9,20.7,23.3,1,1,154.1,0,0,45,1,0,0,46.4,54,3,1,80.6,1,84,1,0,0,1,1
24,84,1,138.93805,0,0.7092762,22,61,114.671814,183.01158,44,39,23,4.4,19,84,1,34,26,33,30,36,29,35,32,35,39,24,36,34,28,34,0,1,1,53,92,85,33,32,31,34,1,1,157,0,0,56,1,0,0,47.8,62.1,0,1,94.5,1,84,1,0,0,1,1
